id;address;lat;lng;timestamp
1;Applications;Montenegro;frictionless;2019-09-21T20:21:46
2;Bahamas;Manager open architecture;Gorgeous Metal Shoes;2019-09-22T04:27:52
3;Mall Investment Account;scalable Configuration calculating;infrastructures Mobility Representative;2019-09-22T02:20:42
4;streamline;synthesize Arizona synthesizing;synthesizing;2019-09-21T13:15:12
5;back-end;Mouse open-source payment;National structure;2019-09-21T17:08:45
6;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;2019-09-21T21:52:11
7;Mali Unbranded Concrete Soap;Cotton Tactics;array Belize Dollar;2019-09-22T03:15:49
8;HDD Borders reboot;mobile Cheese;program;2019-09-21T12:34:46
9;Steel salmon application;USB scalable;Bosnia and Herzegovina generate Creek;2019-09-21T16:46:13
10;Buckinghamshire Cameroon;Intuitive application;Baby Credit Card Account Nevada;2019-09-21T14:04:37
