id;title;description;date_requested;date_begin;date_end;status
1;Music Savings Account;Ethiopian Birr architectures;2019-09-22T02:27:10;2019-09-22;2019-09-21;CONFIRMADO
2;South Carolina;website Curve;2019-09-22T06:59:11;2019-09-21;2019-09-22;PROCESANDO
3;payment;XSS solid state Handmade Granite Fish;2019-09-22T04:44:49;2019-09-22;2019-09-22;TERMINADO
4;Health;Savings Account Rupiah;2019-09-21T17:50:02;2019-09-21;2019-09-22;EN_ESPERA
5;Small bypassing;monetize Frozen;2019-09-21T17:38:40;2019-09-22;2019-09-21;CONFIRMADO
6;Web;circuit;2019-09-22T06:30:26;2019-09-21;2019-09-21;PROCESANDO
7;Assurance Auto Loan Account cross-platform;indexing Handcrafted;2019-09-21T09:47:24;2019-09-21;2019-09-21;EN_ESPERA
8;Sleek Wooden Fish markets;Generic Concrete Tuna Shoes HDD;2019-09-22T02:00:15;2019-09-21;2019-09-21;CANCELADO
9;systems Sleek Wooden Towels Clothing;Fundamental Designer;2019-09-21T07:52:14;2019-09-21;2019-09-21;TERMINADO
10;blue web-readiness white;Drives XSS interface;2019-09-21T13:26:26;2019-09-21;2019-09-21;CONFIRMADO
